2025-09-19 12:30:22,009 INFO    MainThread:2007430 [wandb_setup.py:_flush():81] Current SDK version is 0.21.4
2025-09-19 12:30:22,010 INFO    MainThread:2007430 [wandb_setup.py:_flush():81] Configure stats pid to 2007430
2025-09-19 12:30:22,010 INFO    MainThread:2007430 [wandb_setup.py:_flush():81] Loading settings from /home/sfris1/.config/wandb/settings
2025-09-19 12:30:22,010 INFO    MainThread:2007430 [wandb_setup.py:_flush():81] Loading settings from /gpfs/home5/sfris1/two-towers-confounding-project/results/wandb/settings
2025-09-19 12:30:22,010 INFO    MainThread:2007430 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-09-19 12:30:22,010 INFO    MainThread:2007430 [wandb_init.py:setup_run_log_directory():686] Logging user logs to /gpfs/home5/sfris1/two-towers-confounding-project/results/wandb/run-20250919_123021-cokpbvvu/logs/debug.log
2025-09-19 12:30:22,010 INFO    MainThread:2007430 [wandb_init.py:setup_run_log_directory():687] Logging internal logs to /gpfs/home5/sfris1/two-towers-confounding-project/results/wandb/run-20250919_123021-cokpbvvu/logs/debug-internal.log
2025-09-19 12:30:22,010 INFO    MainThread:2007430 [wandb_init.py:init():813] calling init triggers
2025-09-19 12:30:22,010 INFO    MainThread:2007430 [wandb_init.py:init():818] wandb.init called with sweep_config: {}
config: {'architecture': 'Two-Tower', 'dataset': 'Custom_dataset', 'bias_strength': 1.0, 'use_propensity_weighting': False, 'random_state': 2021, 'use_cross_validation': False, 'train_clicks': 1000000, 'val_clicks': 500000, 'test_clicks': 500000, '_wandb': {}}
2025-09-19 12:30:22,010 INFO    MainThread:2007430 [wandb_init.py:init():854] starting backend
2025-09-19 12:30:22,224 INFO    MainThread:2007430 [wandb_init.py:init():857] sending inform_init request
2025-09-19 12:30:22,230 INFO    MainThread:2007430 [wandb_init.py:init():865] backend started and connected
2025-09-19 12:30:22,231 INFO    MainThread:2007430 [wandb_init.py:init():936] updated telemetry
2025-09-19 12:30:22,243 INFO    MainThread:2007430 [wandb_init.py:init():960] communicating run to backend with 90.0 second timeout
2025-09-19 12:30:22,741 INFO    MainThread:2007430 [wandb_init.py:init():1011] starting run threads in backend
2025-09-19 12:30:22,855 INFO    MainThread:2007430 [wandb_run.py:_console_start():2506] atexit reg
2025-09-19 12:30:22,855 INFO    MainThread:2007430 [wandb_run.py:_redirect():2354] redirect: wrap_raw
2025-09-19 12:30:22,855 INFO    MainThread:2007430 [wandb_run.py:_redirect():2423] Wrapping output streams.
2025-09-19 12:30:22,856 INFO    MainThread:2007430 [wandb_run.py:_redirect():2446] Redirects installed.
2025-09-19 12:30:22,859 INFO    MainThread:2007430 [wandb_init.py:init():1049] run started, returning control to user process
2025-09-19 12:31:22,187 INFO    wandb-AsyncioManager-main:2007430 [service_client.py:_forward_responses():84] Reached EOF.
2025-09-19 12:31:22,187 INFO    wandb-AsyncioManager-main:2007430 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
